y,x,AP1,AP2,AP3
2,17,-57.0,-66.0,-96.0
2,17,-57.0,-67.0,-94.0
2,17,-56.0,-67.0,-94.14
2,17,-61.0,-74.0,-94.14
2,17,-60.0,-71.0,-92.0
2,17,-58.0,-68.0,-94.14
2,17,-59.0,-70.0,-93.0
2,17,-64.0,-75.0,-94.14
2,17,-64.0,-73.0,-94.14
2,17,-61.0,-77.0,-94.14
2,17,-64.0,-80.0,-94.14
2,17,-57.0,-80.0,-94.14
2,17,-63.0,-81.0,-94.0
2,17,-59.0,-71.0,-93.0
2,17,-59.0,-72.0,-94.14
2,17,-57.0,-68.0,-94.14
2,17,-60.0,-69.0,-96.0
2,17,-58.0,-69.0,-94.14
2,17,-56.0,-65.0,-94.14
2,17,-57.0,-68.0,-94.14
3,1,-68.0,-53.0,-91.0
3,1,-67.0,-51.0,-95.0
3,1,-66.0,-52.0,-93.0
3,1,-65.0,-52.0,-92.0
3,1,-64.0,-59.0,-89.0
3,1,-67.0,-58.0,-92.0
3,1,-66.0,-51.0,-93.0
3,1,-66.0,-51.0,-91.0
3,1,-65.0,-51.0,-93.0
3,1,-67.0,-51.0,-90.0
3,1,-65.0,-51.0,-86.0
3,1,-67.0,-56.0,-87.0
3,1,-63.0,-55.0,-87.0
3,1,-67.0,-56.0,-88.0
3,1,-67.0,-55.0,-87.0
3,1,-64.0,-56.0,-90.0
3,1,-64.0,-58.0,-88.0
3,1,-65.0,-56.0,-89.0
3,1,-65.0,-56.0,-92.0
3,1,-68.0,-56.0,-89.0
3,1,-75.0,-57.0,-89.87
3,1,-75.0,-56.0,-91.0
3,1,-70.0,-60.0,-89.0
3,1,-76.0,-61.0,-94.0
3,1,-67.0,-57.0,-89.0
3,1,-67.0,-57.0,-89.0
3,1,-68.0,-56.0,-88.0
3,1,-71.0,-58.0,-90.0
3,1,-72.0,-58.0,-89.87
3,1,-73.0,-58.0,-89.87
3,1,-72.0,-58.0,-89.87
3,1,-73.0,-58.0,-94.0
3,1,-76.0,-59.0,-94.0
3,1,-71.0,-57.0,-94.0
3,1,-73.0,-56.0,-88.0
3,1,-67.0,-53.0,-88.0
3,1,-68.0,-52.0,-90.0
3,1,-70.0,-53.0,-88.0
3,1,-72.0,-52.0,-88.0
3,1,-68.0,-52.0,-93.0
3,1,-73.0,-51.0,-87.0
3,1,-72.0,-55.0,-88.0
3,1,-74.0,-57.0,-91.0
3,1,-72.0,-53.0,-86.0
3,1,-74.0,-53.0,-89.0
3,1,-71.0,-51.0,-89.0
3,1,-72.0,-54.0,-87.0
3,1,-68.0,-52.0,-88.0
3,1,-69.0,-54.0,-88.0
3,1,-67.0,-63.0,-89.0
3,1,-70.0,-49.0,-89.87
3,1,-78.0,-50.0,-89.0
3,1,-67.0,-53.0,-93.0
3,1,-65.0,-56.0,-92.0
3,1,-65.0,-54.0,-90.0
3,1,-67.0,-56.0,-90.0
3,1,-67.0,-54.0,-92.0
3,1,-68.0,-57.0,-89.0
3,1,-71.0,-55.0,-88.0
3,1,-69.0,-56.0,-89.0
3,2,-69.0,-56.0,-90.0
3,2,-74.0,-57.0,-92.0
3,2,-69.0,-54.0,-90.0
3,2,-67.0,-58.0,-94.0
3,2,-67.0,-53.0,-90.0
3,2,-72.0,-52.0,-90.15
3,2,-70.0,-53.0,-93.0
3,2,-70.0,-52.0,-90.15
3,2,-69.0,-53.0,-93.0
3,2,-72.0,-55.0,-93.0
3,2,-68.0,-52.0,-90.15
3,2,-69.0,-53.0,-92.0
3,2,-70.0,-54.0,-90.0
